exp_name,date,n_partitions,partition_id,partition_size,dataset_name
exp_0,2025-07-30,5,1,8,01_output.csv
exp_0,2025-07-30,5,2,8,01_output.csv
exp_0,2025-07-30,5,3,8,01_output.csv
exp_0,2025-07-30,5,4,8,01_output.csv
exp_0,2025-07-30,5,5,10,01_output.csv
exp_0,2025-07-31,5,1,8,01_output.csv
exp_0,2025-07-31,5,2,8,01_output.csv
exp_0,2025-07-31,5,3,8,01_output.csv
exp_0,2025-07-31,5,4,8,01_output.csv
exp_0,2025-07-31,5,5,10,01_output.csv
exp_0,2025-07-31,4,1,24,02_output.csv
exp_0,2025-07-31,4,2,24,02_output.csv
exp_0,2025-07-31,4,3,24,02_output.csv
exp_0,2025-07-31,4,4,27,02_output.csv
exp_0,2025-08-12,4,1,24,02_output.csv
exp_0,2025-08-12,4,2,24,02_output.csv
exp_0,2025-08-12,4,3,24,02_output.csv
exp_0,2025-08-12,4,4,27,02_output.csv
exp_0,2025-08-18,4,1,24,02_output.csv
exp_0,2025-08-18,4,2,24,02_output.csv
exp_0,2025-08-18,4,3,24,02_output.csv
exp_0,2025-08-18,4,4,27,02_output.csv
exp_0,2025-08-19,4,1,24,02_output.csv
exp_0,2025-08-19,4,2,24,02_output.csv
exp_0,2025-08-19,4,3,24,02_output.csv
exp_0,2025-08-19,4,4,27,02_output.csv
exp_0,2025-08-20,4,1,24,02_output.csv
exp_0,2025-08-20,4,2,24,02_output.csv
exp_0,2025-08-20,4,3,24,02_output.csv
exp_0,2025-08-20,4,4,27,02_output.csv
exp_0,2025-08-20,3,1,9,03_output.csv
exp_0,2025-08-20,3,2,9,03_output.csv
exp_0,2025-08-20,3,3,9,03_output.csv
exp_0,2025-08-21,5,1,8,01_output.csv
exp_0,2025-08-21,5,2,8,01_output.csv
exp_0,2025-08-21,5,3,8,01_output.csv
exp_0,2025-08-21,5,4,8,01_output.csv
exp_0,2025-08-21,5,5,10,01_output.csv
exp_0,2025-08-21,4,1,24,02_output.csv
exp_0,2025-08-21,4,2,24,02_output.csv
exp_0,2025-08-21,4,3,24,02_output.csv
exp_0,2025-08-21,4,4,27,02_output.csv
exp_0,2025-08-21,3,1,9,03_output.csv
exp_0,2025-08-21,3,2,9,03_output.csv
exp_0,2025-08-21,3,3,9,03_output.csv
