135.0.234.46,AS54614,CIK Telecom INC,ciktel.com,CA,Canada,NA,North America
112.18.70.3,AS9808,"China Mobile Communications Group Co., Ltd.",10086.cn,CN,China,AS,Asia
60.52.49.246,AS4788,TM TECHNOLOGY SERVICES SDN. BHD.,tm.com.my,MY,Malaysia,AS,Asia
1.32.35.90,AS4788,TM TECHNOLOGY SERVICES SDN. BHD.,tm.com.my,MY,Malaysia,AS,Asia
77.34.97.218,AS12389,PJSC Rostelecom,rt.ru,RU,Russia,EU,Europe
91.213.67.128,AS41748,"OOO ""VolgaSvyazService""",vss-63.ru,RU,Russia,EU,Europe
77.40.93.180,AS12389,PJSC Rostelecom,rt.ru,RU,Russia,EU,Europe
98.25.1.14,AS11426,Charter Communications Inc,charter.com,US,United States,NA,North America
58.209.194.16,AS140292,CHINATELECOM Jiangsu province Suzhou 5G network,chinatelecom.cn,CN,China,AS,Asia
49.147.228.48,AS9299,Philippine Long Distance Telephone Company,pldt.com,PH,Philippines,AS,Asia
36.1.224.84,AS4134,CHINANET-BACKBONE,chinatelecom.com.cn,CN,China,AS,Asia
81.215.210.244,AS9121,Turk Telekomunikasyon Anonim Sirketi,turktelekom.com.tr,TR,Turkey,AS,Asia
178.206.128.163,AS28840,"PJSC ""TATTELECOM""",tattelecom.ru,RU,Russia,EU,Europe
42.4.227.252,AS4837,CHINA UNICOM China169 Backbone,chinaunicom.cn,CN,China,AS,Asia
5.145.204.143,AS44265,OOO Smoltelecom,smoltelecom.ru,RU,Russia,EU,Europe
112.205.47.91,AS9299,Philippine Long Distance Telephone Company,pldt.com,PH,Philippines,AS,Asia
112.204.126.126,AS9299,Philippine Long Distance Telephone Company,pldt.com,PH,Philippines,AS,Asia
31.23.32.144,AS12389,PJSC Rostelecom,rt.ru,RU,Russia,EU,Europe
178.141.21.152,AS8359,MTS PJSC,mts.ru,RU,Russia,EU,Europe
175.143.86.24,AS4788,TM TECHNOLOGY SERVICES SDN. BHD.,tm.com.my,MY,Malaysia,AS,Asia
122.52.37.159,AS9299,Philippine Long Distance Telephone Company,pldt.com,PH,Philippines,AS,Asia
111.50.113.61,AS9808,"China Mobile Communications Group Co., Ltd.",10086.cn,CN,China,AS,Asia
49.147.76.222,AS9299,Philippine Long Distance Telephone Company,pldt.com,PH,Philippines,AS,Asia
92.241.112.183,AS44265,OOO Smoltelecom,smoltelecom.ru,RU,Russia,EU,Europe
188.244.234.87,AS15774,"Limited Liability Company ""TTK-Svyaz""",ttk.ru,RU,Russia,EU,Europe
210.23.177.154,AS9299,Philippine Long Distance Telephone Company,pldt.com,PH,Philippines,AS,Asia
114.241.242.173,AS4808,China Unicom Beijing Province Network,chinaunicom.cn,CN,China,AS,Asia
