saddr,saddr_raw,daddr,daddr_raw,ipid,ttl,classification,success,sport,dport,udp_pkt_size,data,icmp_responder,icmp_type,icmp_code,icmp_unreach_str,repeat,cooldown,timestamp_str,timestamp_ts,timestamp_us
46.72.110.98,1651394606,10.128.0.3,50364426,23043,46,udp,1,5683,57650,99,60457d70c128ff3c2f72656769737465723e2c3c2f6e646d2f6469733e2c3c2f6e646d2f63693e2c3c2f6d6972726f723e2c3c2f7568703e2c3c2f6e646d2f6c6f676f75743e2c3c2f6e646d2f6c6f67696e3e2c3c2f696e666f3e,,,,,0,0,2026-01-09T13:50:49.614+0000,1767966649,614809
36.149.33.26,438408484,10.128.0.3,50364426,35620,55,udp,1,5683,53938,285,60457d70c128ff3c2f716c696e6b3e2c3c2f716c696e6b2f73656172636867773e2c3c2f6465766963653e2c3c2f6465766963652f696e666f726d3e2c3c2f6465766963652f696e666f726d2f626f6f743e2c3c2f6465766963652f696e666f726d2f626f6f7473747261703e2c3c2f6465766963652f696e666f726d2f646174613e2c3c2f6465766963652f696e666f726d2f6865617274626561743e2c3c2f6465766963652f696e666f726d2f6f66666c696e653e2c3c2f656b69743e2c3c2f656b69742f626f6f743e2c3c2f656b69742f626f6f7473747261703e2c3c2f656b69742f6865617274626561743e2c3c2f656b69742f73656172636867773e2c3c2f2e77656c6c2d6b6e6f776e2f636f72653e,,,,,0,0,2026-01-09T13:50:49.624+0000,1767966649,624436
61.91.59.79,1329290045,10.128.0.3,50364426,44627,55,udp,1,5683,35712,1047,60457d70c128ff3c2f3e3b7469746c653d2247656e6572616c20496e666f223b63743d302c3c2f716c696e6b2f73656172636861636b3e3b7469746c653d716c696e6b2f73656172636861636b2c3c2f6465766963652f636f6d6d616e642f436f6e74726f6c3e3b7469746c653d6465766963652f636f6d6d616e642f436f6e74726f6c2c3c2f6465766963652f636f6d6d616e642f446174613e3b7469746c653d6465766963652f636f6d6d616e642f446174612c3c2f6465766963652f636f6d6d616e642f556e62696e643e3b7469746c653d6465766963652f636f6d6d616e642f556e62696e642c3c2f6465766963652f636f6d6d616e642f66696c653e3b7469746c653d6465766963652f636f6d6d616e642f66696c652c3c2f6465766963652f636f6d6d616e642f666c696e6b636d643e3b7469746c653d6465766963652f636f6d6d616e642f666c696e6b636d642c3c2f61706465766963652f636f6e74726f6c2f576946695377697463683e3b7469746c653d61706465766963652f636f6e74726f6c2f576946695377697463682c3c2f61706465766963652f636f6e74726f6c2f526164696f436f6e6669673e3b7469746c653d61706465766963652f636f6e74726f6c2f526164696f436f6e6669672c3c2f61706465766963652f636f6e74726f6c2f5750533e3b7469746c653d61706465766963652f636f6e74726f6c2f5750532c3c2f61706465766963652f636f6e74726f6c2f4d616346696c7465723e3b7469746c653d61706465766963652f636f6e74726f6c2f4d616346696c7465722c3c2f61706465766963652f636f6e74726f6c2f5265626f6f743e3b7469746c653d61706465766963652f636f6e74726f6c2f5265626f6f742c3c2f61706465766963652f636f6e74726f6c2f4c4544436f6e74726f6c3e3b7469746c653d61706465766963652f636f6e74726f6c2f4c4544436f6e74726f6c2c3c2f61706465766963652f636f6e74726f6c2f526f616d696e67436f6e6669673e3b7469746c653d61706465766963652f636f6e74726f6c2f526f616d696e67436f6e6669672c3c2f61706465766963652f71756572792f4170436f6e666967496e666f3e3b7469746c653d61706465766963652f71756572792f4170436f6e666967496e666f2c3c2f61706465766963652f71756572792f55706c696e6b5374617475733e3b7469746c653d61706465766963652f71756572792f55706c696e6b5374617475732c3c2f61706465766963652f71756572792f535441496e666f3e3b7469746c653d61706465766963652f71756572792f535441496e666f2c3c2f61706465766963652f71756572792f576946695374617475733e3b7469746c653d61706465766963652f71756572792f576946695374617475732c3c2f6173796e633e3b63743d30,,,,,0,0,2026-01-09T13:50:49.790+0000,1767966649,790619
60.177.60.136,2285678908,10.128.0.3,50364426,59224,54,udp,1,5683,38497,112,60457d70c128ff3c2f716c696e6b2f7365617263686465766963653e3b7469746c653d22514c494e4b2d46494e44205265736f75726365222c3c2f716c696e6b2f6e6574696e666f3e3b7469746c653d22514c494e4b2d4e4554494e464f205265736f7572636522,,,,,0,0,2026-01-09T13:50:49.839+0000,1767966649,839509
39.171.40.104,1747495719,10.128.0.3,50364426,25247,54,udp,1,5683,43387,112,60457d70c128ff3c2f716c696e6b2f7365617263686465766963653e3b7469746c653d22514c494e4b2d46494e44205265736f75726365222c3c2f716c696e6b2f6e6574696e666f3e3b7469746c653d22514c494e4b2d4e4554494e464f205265736f7572636522,,,,,0,0,2026-01-09T13:50:49.849+0000,1767966649,849868
46.180.62.3,54441006,10.128.0.3,50364426,43192,45,udp,1,5683,37833,99,60457d70c128ff3c2f72656769737465723e2c3c2f6e646d2f6469733e2c3c2f6e646d2f63693e2c3c2f6d6972726f723e2c3c2f7568703e2c3c2f6e646d2f6c6f676f75743e2c3c2f6e646d2f6c6f67696e3e2c3c2f696e666f3e,,,,,0,0,2026-01-09T13:50:49.955+0000,1767966649,955478
59.97.83.61,1028874555,10.128.0.3,50364426,0,60,udp,1,5683,38516,989,60457d70c128ff3c2f716c696e6b3e2c3c2f716c696e6b2f61636b3e3b7469746c653d22516c696e6b2d41434b205265736f75726365222c3c2f716c696e6b2f726571756573743e3b7469746c653d22516c696e6b2d52657175657374205265736f75726365222c3c2f716c696e6b2f73656172636867773e3b7469746c653d225365617263684757205265736f75726365222c3c2f716c696e6b2f737563636573733e3b7469746c653d22516c696e6b2d53756363657373205265736f75726365222c3c2f716c696e6b2f776c616e746573743e3b7469746c653d22516c696e6b2d574c414e205265736f75726365222c3c2f67773e2c3c2f67772f71756572793e2c3c2f67772f71756572792f446961676e6f746f72436f6e6e656374696f6e3e3b7469746c653d22436f6e6e65637420546f20446961676e6f746f72222c3c2f67772f71756572792f6170646576696365733e3b7469746c653d22496e666f726d2044617461205265736f75726365222c3c2f62617369633e2c3c2f62617369632f6865617274626561743e3b7469746c653d2242617369632d686561727462656174205265736f75726365222c3c2f62617369632f7265676973743e3b7469746c653d22516c696e6b2d526567697374205265736f75726365222c3c2f62617369632f73686f773e3b7469746c653d22516c696e6b2d53484f57205265736f75726365222c3c2f6465766963653e2c3c2f6465766963652f636f6d6d616e643e2c3c2f6465766963652f636f6d6d616e642f636f6e74726f6c3e3b7469746c653d2244657669636520436f6e74726f6c205265736f75726365222c3c2f6465766963652f636f6d6d616e642f646174613e3b7469746c653d22436f6e74726f6c2044617461205265736f75726365222c3c2f6465766963652f696e666f726d3e2c3c2f6465766963652f696e666f726d2f626f6f743e3b7469746c653d22426f6f742d52657175657374205265736f75726365222c3c2f6465766963652f696e666f726d2f626f6f7473747261703e3b7469746c653d22626f6f7473747261702d52657175657374205265736f75726365222c3c2f6465766963652f696e666f726d2f646174613e3b6f62733b7469746c653d22496e666f726d2044617461205265736f75726365222c3c2f6465766963652f696e666f726d2f6865617274626561743e3b7469746c653d22486561727442656174205265736f75726365222c3c2f6465766963652f696e666f726d2f6f66666c696e653e3b7469746c653d224368696c64446576696365204f66666c696e65205265736f75726365222c3c2f2e77656c6c2d6b6e6f776e2f636f72653e,,,,,0,0,2026-01-09T13:50:50.057+0000,1767966650,57913
49.12.20.219,3675524145,10.128.0.3,50364426,2212,56,icmp,0,,,,,49.12.20.219,3,3,port unreachable,0,0,2026-01-09T13:50:50.110+0000,1767966650,110534
49.147.39.60,1009226545,10.128.0.3,50364426,0,60,udp,1,5683,47587,524,60457d70c128ff3c2f3e3b7469746c653d2247656e6572616c20496e666f223b63743d302c3c2f716c696e6b2f73656172636866683e3b7469746c653d716c696e6b2f73656172636866682c3c2f716c696e6b2f73656172636867773e3b7469746c653d716c696e6b2f73656172636867772c3c2f716c696e6b2f726571756573743e3b7469746c653d716c696e6b2f726571756573742c3c2f716c696e6b2f737563636573733e3b7469746c653d716c696e6b2f737563636573732c3c2f6465766963652f696e666f726d2f626f6f7473747261703e3b7469746c653d6465766963652f696e666f726d2f626f6f7473747261702c3c2f6465766963652f696e666f726d2f626f6f743e3b7469746c653d6465766963652f696e666f726d2f626f6f742c3c2f6465766963652f696e666f726d2f73796e637265713e3b7469746c653d6465766963652f696e666f726d2f73796e637265712c3c2f6465766963652f696e666f726d2f6f66666c696e653e3b7469746c653d6465766963652f696e666f726d2f6f66666c696e652c3c2f6465766963652f696e666f726d2f6865617274626561743e3b7469746c653d6465766963652f696e666f726d2f6865617274626561742c3c2f6465766963652f696e666f726d2f646174613e3b7469746c653d6465766963652f696e666f726d2f646174612c3c2f6173796e633e3b63743d30,,,,,0,0,2026-01-09T13:50:50.366+0000,1767966650,366066
49.148.61.118,1983747121,10.128.0.3,50364426,0,60,udp,1,5683,44644,524,60457d70c128ff3c2f3e3b7469746c653d2247656e6572616c20496e666f223b63743d302c3c2f716c696e6b2f73656172636866683e3b7469746c653d716c696e6b2f73656172636866682c3c2f716c696e6b2f73656172636867773e3b7469746c653d716c696e6b2f73656172636867772c3c2f716c696e6b2f726571756573743e3b7469746c653d716c696e6b2f726571756573742c3c2f716c696e6b2f737563636573733e3b7469746c653d716c696e6b2f737563636573732c3c2f6465766963652f696e666f726d2f626f6f7473747261703e3b7469746c653d6465766963652f696e666f726d2f626f6f7473747261702c3c2f6465766963652f696e666f726d2f626f6f743e3b7469746c653d6465766963652f696e666f726d2f626f6f742c3c2f6465766963652f696e666f726d2f73796e637265713e3b7469746c653d6465766963652f696e666f726d2f73796e637265712c3c2f6465766963652f696e666f726d2f6f66666c696e653e3b7469746c653d6465766963652f696e666f726d2f6f66666c696e652c3c2f6465766963652f696e666f726d2f6865617274626561743e3b7469746c653d6465766963652f696e666f726d2f6865617274626561742c3c2f6465766963652f696e666f726d2f646174613e3b7469746c653d6465766963652f696e666f726d2f646174612c3c2f6173796e633e3b63743d30,,,,,0,0,2026-01-09T13:50:50.368+0000,1767966650,368421
