saddr,as_domain,as_name,asn,continent,continent_code,country,country_code
49.148.100.18,pldt.com,Philippine Long Distance Telephone Company,AS9299,Asia,AS,Philippines,PH
61.146.231.254,chinatelecom.com.cn,CHINANET-BACKBONE,AS4134,Asia,AS,China,CN
36.170.4.70,10086.cn,"China Mobile Communications Group Co., Ltd.",AS9808,Asia,AS,China,CN
49.148.98.188,pldt.com,Philippine Long Distance Telephone Company,AS9299,Asia,AS,Philippines,PH
46.241.58.225,ttk.ru,Joint Stock Company TransTeleCom,AS21127,Europe,EU,Russia,RU
59.183.163.141,bsnl.co.in,National Internet Backbone,AS9829,Asia,AS,India,IN
58.212.143.205,chinatelecom.com.cn,CHINANET-BACKBONE,AS4134,Asia,AS,China,CN
49.228.132.174,ais.co.th,AIS Fibre,AS133481,Asia,AS,Thailand,TH
37.237.228.253,earthlink.iq,Earthlink Telecommunications Equipment Trading & Services DMCC,AS199739,Asia,AS,Iraq,IQ
58.69.172.210,pldt.com,Philippine Long Distance Telephone Company,AS9299,Asia,AS,Philippines,PH
