saddr,as_domain,as_name,asn,continent,continent_code,country,country_code
37.235.135.155,lanta-net.ru,LANTA Ltd,AS41268,Europe,EU,Russia,RU
49.148.159.137,pldt.com,Philippine Long Distance Telephone Company,AS9299,Asia,AS,Philippines,PH
60.14.140.23,chinaunicom.cn,CHINA UNICOM China169 Backbone,AS4837,Asia,AS,China,CN
49.148.137.14,pldt.com,Philippine Long Distance Telephone Company,AS9299,Asia,AS,Philippines,PH
49.145.126.27,pldt.com,Philippine Long Distance Telephone Company,AS9299,Asia,AS,Philippines,PH
61.184.39.59,chinatelecom.com.cn,CHINANET-BACKBONE,AS4134,Asia,AS,China,CN
49.144.23.32,pldt.com,Philippine Long Distance Telephone Company,AS9299,Asia,AS,Philippines,PH
46.159.18.21,rt.ru,PJSC Rostelecom,AS12389,Europe,EU,Russia,RU
60.215.161.215,chinaunicom.cn,CHINA UNICOM China169 Backbone,AS4837,Asia,AS,China,CN
49.144.27.10,pldt.com,Philippine Long Distance Telephone Company,AS9299,Asia,AS,Philippines,PH
49.144.221.29,pldt.com,Philippine Long Distance Telephone Company,AS9299,Asia,AS,Philippines,PH
49.156.1.157,ezecom.com.kh,"EZECOM CO., LTD.",AS38901,Asia,AS,Cambodia,KH
42.178.52.142,chinaunicom.cn,CHINA UNICOM China169 Backbone,AS4837,Asia,AS,China,CN
36.154.225.106,chinamobile.com,China Mobile communications corporation,AS56046,Asia,AS,China,CN
58.245.247.79,chinaunicom.cn,CHINA UNICOM China169 Backbone,AS4837,Asia,AS,China,CN
58.69.69.244,pldt.com,Philippine Long Distance Telephone Company,AS9299,Asia,AS,Philippines,PH
58.214.167.204,chinatelecom.com.cn,CHINANET-BACKBONE,AS4134,Asia,AS,China,CN
59.1.96.67,kt.com,Korea Telecom,AS4766,Asia,AS,South Korea,KR
46.160.216.120,infolink.ru,Information and Communication Technologies LLC,AS35539,Europe,EU,Russia,RU
49.147.35.251,pldt.com,Philippine Long Distance Telephone Company,AS9299,Asia,AS,Philippines,PH
34.154.95.112,google.com,Google LLC,AS396982,Europe,EU,Italy,IT
49.149.32.80,pldt.com,Philippine Long Distance Telephone Company,AS9299,Asia,AS,Philippines,PH
39.129.183.161,10086.cn,"China Mobile Communications Group Co., Ltd.",AS9808,Asia,AS,China,CN
60.14.116.162,chinaunicom.cn,CHINA UNICOM China169 Backbone,AS4837,Asia,AS,China,CN
49.144.95.30,pldt.com,Philippine Long Distance Telephone Company,AS9299,Asia,AS,Philippines,PH
38.50.186.237,cableatlantico.com,Cable Atlantico SRL,AS265721,North America,NA,Dominican Republic,DO
49.146.140.31,pldt.com,Philippine Long Distance Telephone Company,AS9299,Asia,AS,Philippines,PH
46.44.39.40,fiord.ru,"LLC ""TRC FIORD""",AS51369,Europe,EU,Russia,RU
36.154.137.166,chinamobile.com,China Mobile communications corporation,AS56046,Asia,AS,China,CN
59.63.101.79,chinatelecom.com.cn,CHINANET-BACKBONE,AS4134,Asia,AS,China,CN
59.89.223.240,bsnl.co.in,National Internet Backbone,AS9829,Asia,AS,India,IN
49.148.140.237,pldt.com,Philippine Long Distance Telephone Company,AS9299,Asia,AS,Philippines,PH
49.149.176.187,pldt.com,Philippine Long Distance Telephone Company,AS9299,Asia,AS,Philippines,PH
49.145.180.29,pldt.com,Philippine Long Distance Telephone Company,AS9299,Asia,AS,Philippines,PH
49.151.231.62,pldt.com,Philippine Long Distance Telephone Company,AS9299,Asia,AS,Philippines,PH
49.148.157.128,pldt.com,Philippine Long Distance Telephone Company,AS9299,Asia,AS,Philippines,PH
39.184.178.44,chinamobile.com,China Mobile communications corporation,AS56041,Asia,AS,China,CN
46.72.229.157,wifire.ru,PJSC MegaFon,AS12714,Europe,EU,Russia,RU
39.153.182.203,10086.cn,"China Mobile Communications Group Co., Ltd.",AS9808,Asia,AS,China,CN
46.147.180.140,ertelecom.ru,"JSC ""ER-Telecom Holding""",AS34590,Europe,EU,Russia,RU
37.78.45.19,rt.ru,PJSC Rostelecom,AS12389,Europe,EU,Russia,RU
36.153.224.174,chinamobile.com,China Mobile communications corporation,AS56046,Asia,AS,China,CN
36.158.67.58,chinamobile.com,China Mobile communications corporation,AS56047,Asia,AS,China,CN
46.164.227.128,freedom-vrn.ru,"AO IK ""Informsvyaz-Chernozemye""",AS6856,Europe,EU,Russia,RU
46.159.154.11,rt.ru,PJSC Rostelecom,AS12389,Europe,EU,Russia,RU
37.140.48.245,is74.ru,Intersvyaz-2 JSC,AS8369,Europe,EU,Russia,RU
61.139.227.211,chinatelecom.com.cn,CHINANET-BACKBONE,AS4134,Asia,AS,China,CN
61.185.65.18,chinatelecom.com.cn,CHINANET-BACKBONE,AS4134,Asia,AS,China,CN
58.152.235.115,netvigator.com,HKT Limited,AS4760,Asia,AS,Hong Kong,HK
