saddr,as_domain,as_name,asn,continent,continent_code,country,country_code
223.86.171.73,10086.cn,"China Mobile Communications Group Co., Ltd.",AS9808,Asia,AS,China,CN
219.144.217.30,chinatelecom.com.cn,CHINANET-BACKBONE,AS4134,Asia,AS,China,CN
223.86.111.195,10086.cn,"China Mobile Communications Group Co., Ltd.",AS9808,Asia,AS,China,CN
223.122.72.124,chinamobile.com,China Mobile Hong Kong Company Limited,AS137872,Asia,AS,Hong Kong,HK
211.139.210.34,10086.cn,"China Mobile Communications Group Co., Ltd.",AS9808,Asia,AS,China,CN
195.19.21.54,utuz.ru,"Joint Stock Company ""Institutional Telephone Center""",AS50003,Europe,EU,Russia,RU
218.8.101.104,chinaunicom.cn,CHINA UNICOM China169 Backbone,AS4837,Asia,AS,China,CN
223.85.52.37,10086.cn,"China Mobile Communications Group Co., Ltd.",AS9808,Asia,AS,China,CN
222.116.194.81,kt.com,Korea Telecom,AS4766,Asia,AS,South Korea,KR
204.11.133.228,bugtusselwireless.com,Bug Tussel Wireless,AS33125,North America,NA,United States,US
193.151.236.112,darnet.ru,LLC DARNET,AS49828,Europe,EU,Russia,RU
223.94.54.187,chinamobile.com,China Mobile communications corporation,AS56041,Asia,AS,China,CN
206.221.80.191,cablenet.com.ar,Cablenet S.A.,AS264797,South America,SA,Argentina,AR
219.244.20.62,cernet.edu.cn,China Education and Research Network Center,AS4538,Asia,AS,China,CN
223.72.17.246,chinamobile.com,China Mobile Communicaitons Corporation,AS56048,Asia,AS,China,CN
222.139.45.38,chinaunicom.cn,CHINA UNICOM China169 Backbone,AS4837,Asia,AS,China,CN
202.170.123.10,proen.co.th,Proen Corp Public Company Limited.,AS23884,Asia,AS,Thailand,TH
223.85.255.163,10086.cn,"China Mobile Communications Group Co., Ltd.",AS9808,Asia,AS,China,CN
223.72.106.40,chinamobile.com,China Mobile Communicaitons Corporation,AS56048,Asia,AS,China,CN
212.106.62.46,rt.ru,PJSC Rostelecom,AS12389,Europe,EU,Russia,RU
210.186.158.176,tm.com.my,TM TECHNOLOGY SERVICES SDN. BHD.,AS4788,Asia,AS,Malaysia,MY
211.216.193.220,kt.com,Korea Telecom,AS4766,Asia,AS,South Korea,KR
209.216.104.101,telmax.com,TelMAX Inc.,AS394710,North America,NA,Canada,CA
210.1.113.118,pldt.com,Philippine Long Distance Telephone Company,AS9299,Asia,AS,Philippines,PH
221.10.17.248,chinaunicom.cn,CHINA UNICOM China169 Backbone,AS4837,Asia,AS,China,CN
210.23.191.39,pldt.com,Philippine Long Distance Telephone Company,AS9299,Asia,AS,Philippines,PH
223.85.249.95,10086.cn,"China Mobile Communications Group Co., Ltd.",AS9808,Asia,AS,China,CN
223.72.44.220,chinamobile.com,China Mobile Communicaitons Corporation,AS56048,Asia,AS,China,CN
211.185.70.187,kt.com,Korea Telecom,AS4766,Asia,AS,South Korea,KR
223.83.4.2,10086.cn,"China Mobile Communications Group Co., Ltd.",AS9808,Asia,AS,China,CN
218.203.204.41,10086.cn,"China Mobile Communications Group Co., Ltd.",AS9808,Asia,AS,China,CN
213.168.56.50,megafon.ru,PJSC MegaFon,AS20632,Europe,EU,Russia,RU
194.176.118.51,it3.com,IT Ltd,AS52194,Europe,EU,Russia,RU
222.174.178.254,chinatelecom.com.cn,CHINANET-BACKBONE,AS4134,Asia,AS,China,CN
209.50.32.211,ciktel.com,CIK Telecom INC,AS54614,North America,NA,Canada,CA
206.221.80.205,cablenet.com.ar,Cablenet S.A.,AS264797,South America,SA,Argentina,AR
223.108.34.154,chinamobile.com,China Mobile communications corporation,AS56046,Asia,AS,China,CN
213.108.219.135,vgscom.ru,Gorset LLC,AS49776,Europe,EU,Russia,RU
209.141.174.44,ciktel.com,CIK Telecom INC,AS54614,North America,NA,Canada,CA
209.141.197.217,ciktel.com,CIK Telecom INC,AS54614,North America,NA,Canada,CA
213.108.190.246,loctelecom.ru,Loctelecom PJSC,AS49736,Europe,EU,Russia,RU
223.122.102.116,chinamobile.com,China Mobile Hong Kong Company Limited,AS137872,Asia,AS,Hong Kong,HK
218.149.221.175,kt.com,Korea Telecom,AS4766,Asia,AS,South Korea,KR
217.15.199.97,maxnet.ru,MAXnet Systems Ltd.,AS8636,Europe,EU,Russia,RU
209.141.152.210,ciktel.com,CIK Telecom INC,AS54614,North America,NA,Canada,CA
195.9.79.70,spd-mgts.ru,PJSC Moscow city telephone network,AS25513,Europe,EU,Russia,RU
217.117.120.132,proc.ru,Niko-2001 LLC,AS30953,Europe,EU,Russia,RU
218.65.36.69,chinatelecom.com.cn,CHINANET-BACKBONE,AS4134,Asia,AS,China,CN
218.15.201.166,chinatelecom.com.cn,CHINANET-BACKBONE,AS4134,Asia,AS,China,CN
210.23.185.211,pldt.com,Philippine Long Distance Telephone Company,AS9299,Asia,AS,Philippines,PH
213.110.147.77,sunnet.ua,SUNNET LLC,AS47889,Europe,EU,Ukraine,UA
211.158.51.1,chinaunicom.cn,CHINA UNICOM China169 Backbone,AS4837,Asia,AS,China,CN
193.187.107.85,,Voronezh Telecom LLC,AS43991,Europe,EU,Russia,RU
209.141.172.187,ciktel.com,CIK Telecom INC,AS54614,North America,NA,Canada,CA
206.176.145.201,ciktel.com,CIK Telecom INC,AS54614,North America,NA,Canada,CA
216.165.217.146,ciktel.com,CIK Telecom INC,AS54614,North America,NA,Canada,CA
218.203.224.118,10086.cn,"China Mobile Communications Group Co., Ltd.",AS9808,Asia,AS,China,CN
210.195.250.146,tm.com.my,TM TECHNOLOGY SERVICES SDN. BHD.,AS4788,Asia,AS,Malaysia,MY
223.87.77.118,10086.cn,"China Mobile Communications Group Co., Ltd.",AS9808,Asia,AS,China,CN
206.176.145.10,ciktel.com,CIK Telecom INC,AS54614,North America,NA,Canada,CA
192.173.150.87,ruralconnect.ca,RURAL CONNECT LTD.,AS398038,North America,NA,Canada,CA
220.94.81.133,kt.com,Korea Telecom,AS4766,Asia,AS,South Korea,KR
206.253.65.67,ciktel.com,CIK Telecom INC,AS54614,North America,NA,Canada,CA
218.19.114.77,chinatelecom.com.cn,CHINANET-BACKBONE,AS4134,Asia,AS,China,CN
212.107.138.189,telenor.se,Telenor Sverige AB,AS33885,Europe,EU,Sweden,SE
206.176.134.53,ciktel.com,CIK Telecom INC,AS54614,North America,NA,Canada,CA
202.104.156.79,chinatelecom.com.cn,CHINANET-BACKBONE,AS4134,Asia,AS,China,CN
223.75.211.191,10086.cn,"China Mobile Communications Group Co., Ltd.",AS9808,Asia,AS,China,CN
223.76.189.169,10086.cn,"China Mobile Communications Group Co., Ltd.",AS9808,Asia,AS,China,CN
213.109.102.253,gtnt.ru,ZAO GTNT,AS57529,Europe,EU,Russia,RU
193.151.232.140,darnet.ru,LLC DARNET,AS49828,Europe,EU,Russia,RU
221.182.61.163,10086.cn,"China Mobile Communications Group Co., Ltd.",AS9808,Asia,AS,China,CN
223.67.30.91,chinamobile.com,China Mobile communications corporation,AS56046,Asia,AS,China,CN
212.106.47.23,rt.ru,PJSC Rostelecom,AS12389,Europe,EU,Russia,RU
209.141.201.148,ciktel.com,CIK Telecom INC,AS54614,North America,NA,Canada,CA
