saddr,saddr_raw,daddr,daddr_raw,ipid,ttl,classification,success,sport,dport,udp_pkt_size,data,icmp_responder,icmp_type,icmp_code,icmp_unreach_str,repeat,cooldown,timestamp_str,timestamp_ts,timestamp_us
78.65.202.201,170016846,192.168.0.123,2063640768,24934,51,icmp,0,,,,,78.64.34.10,3,1,host unreachable,0,0,2025-10-31T19:49:02.226+0100,1761936542,226087
83.169.251.174,2935728467,192.168.0.123,2063640768,19937,48,udp,1,5683,48087,99,60457d70c128ff3c2f72656769737465723e2c3c2f6e646d2f6469733e2c3c2f6e646d2f63693e2c3c2f6d6972726f723e2c3c2f7568703e2c3c2f6e646d2f6c6f676f75743e2c3c2f6e646d2f6c6f67696e3e2c3c2f696e666f3e,,,,,0,0,2025-10-31T19:50:32.185+0100,1761936632,185628
78.31.243.63,1072897870,192.168.0.123,2063640768,38564,49,udp,1,5683,51738,99,60457d70c128ff3c2f72656769737465723e2c3c2f6e646d2f6469733e2c3c2f6e646d2f63693e2c3c2f6d6972726f723e2c3c2f7568703e2c3c2f6e646d2f6c6f676f75743e2c3c2f6e646d2f6c6f67696e3e2c3c2f696e666f3e,,,,,0,0,2025-10-31T19:50:36.497+0100,1761936636,497483
94.19.220.23,400298846,192.168.0.123,2063640768,65487,53,udp,1,5683,34764,99,60457d70c128ff3c2f72656769737465723e2c3c2f6e646d2f6469733e2c3c2f6e646d2f63693e2c3c2f6d6972726f723e2c3c2f7568703e2c3c2f6e646d2f6c6f676f75743e2c3c2f6e646d2f6c6f67696e3e2c3c2f696e666f3e,,,,,0,0,2025-10-31T19:50:58.809+0100,1761936658,809034
83.222.81.192,3226590803,192.168.0.123,2063640768,15005,51,udp,1,5683,41043,99,60457d70c128ff3c2f72656769737465723e2c3c2f6e646d2f6469733e2c3c2f6e646d2f63693e2c3c2f6d6972726f723e2c3c2f7568703e2c3c2f6e646d2f6c6f676f75743e2c3c2f6e646d2f6c6f67696e3e2c3c2f696e666f3e,,,,,0,0,2025-10-31T19:51:03.099+0100,1761936663,99904
89.214.214.223,3755398745,192.168.0.123,2063640768,423,50,icmp,0,,,,,89.214.214.223,3,3,port unreachable,0,0,2025-10-31T19:51:13.580+0100,1761936673,580454
90.155.12.204,341612224,192.168.0.123,2063640768,56181,55,icmp,0,,,,,192.150.92.20,3,0,network unreachable,0,0,2025-10-31T19:51:21.898+0100,1761936681,898914
95.183.20.9,152352607,192.168.0.123,2063640768,46344,50,udp,1,5683,34930,99,60457d70c128ff3c2f72656769737465723e2c3c2f6e646d2f6469733e2c3c2f6e646d2f63693e2c3c2f6d6972726f723e2c3c2f7568703e2c3c2f6e646d2f6c6f676f75743e2c3c2f6e646d2f6c6f67696e3e2c3c2f696e666f3e,,,,,0,0,2025-10-31T19:51:22.265+0100,1761936682,265777
87.79.155.75,1268469591,192.168.0.123,2063640768,32642,54,icmp,0,,,,,87.79.155.75,3,13,communication admin. prohibited,0,0,2025-10-31T19:53:38.901+0100,1761936818,901053
84.51.107.46,778777428,192.168.0.123,2063640768,34322,51,udp,1,5683,51304,77,60457d70c128ff3c2f6e646d2f6469733e2c3c2f6e646d2f63693e2c3c2f7568703e2c3c2f6e646d2f6c6f676f75743e2c3c2f6e646d2f6c6f67696e3e2c3c2f696e666f3e,,,,,0,0,2025-10-31T19:54:11.712+0100,1761936851,712845
93.100.148.131,2207540317,192.168.0.123,2063640768,1841,52,udp,1,5683,47522,99,60457d70c128ff3c2f72656769737465723e2c3c2f6e646d2f6469733e2c3c2f6e646d2f63693e2c3c2f6d6972726f723e2c3c2f7568703e2c3c2f6e646d2f6c6f676f75743e2c3c2f6e646d2f6c6f67696e3e2c3c2f696e666f3e,,,,,0,0,2025-10-31T19:55:53.083+0100,1761936953,83867
83.221.200.12,214490451,192.168.0.123,2063640768,16635,53,udp,1,5683,37038,99,60457d70c128ff3c2f72656769737465723e2c3c2f6e646d2f6469733e2c3c2f6e646d2f63693e2c3c2f6d6972726f723e2c3c2f7568703e2c3c2f6e646d2f6c6f676f75743e2c3c2f6e646d2f6c6f67696e3e2c3c2f696e666f3e,,,,,0,0,2025-10-31T19:55:56.698+0100,1761936956,698589
95.71.42.195,3274327903,192.168.0.123,2063640768,40777,54,udp,1,5683,37470,99,60457d70c128ff3c2f72656769737465723e2c3c2f6e646d2f6469733e2c3c2f6e646d2f63693e2c3c2f6d6972726f723e2c3c2f7568703e2c3c2f6e646d2f6c6f676f75743e2c3c2f6e646d2f6c6f67696e3e2c3c2f696e666f3e,,,,,0,0,2025-10-31T19:56:10.500+0100,1761936970,500012
79.174.184.183,3082333775,192.168.0.123,2063640768,63312,55,udp,1,5683,41686,99,60457d70c128ff3c2f72656769737465723e2c3c2f6e646d2f6469733e2c3c2f6e646d2f63693e2c3c2f6d6972726f723e2c3c2f7568703e2c3c2f6e646d2f6c6f676f75743e2c3c2f6e646d2f6c6f67696e3e2c3c2f696e666f3e,,,,,0,0,2025-10-31T19:56:26.229+0100,1761936986,229212
94.142.248.106,1794674270,192.168.0.123,2063640768,64859,53,udp,1,5683,60021,99,60457d70c128ff3c2f72656769737465723e2c3c2f6e646d2f6469733e2c3c2f6e646d2f63693e2c3c2f6d6972726f723e2c3c2f7568703e2c3c2f6e646d2f6c6f676f75743e2c3c2f6e646d2f6c6f67696e3e2c3c2f696e666f3e,,,,,0,0,2025-10-31T19:56:33.498+0100,1761936993,498166
