saddr,as_domain,as_name,asn,continent,continent_code,country,country_code
216.165.216.198,ciktel.com,CIK Telecom INC,AS54614,North America,NA,Canada,CA
219.131.11.14,chinatelecom.com.cn,CHINANET-BACKBONE,AS4134,Asia,AS,China,CN
206.176.139.34,ciktel.com,CIK Telecom INC,AS54614,North America,NA,Canada,CA
209.141.135.233,ciktel.com,CIK Telecom INC,AS54614,North America,NA,Canada,CA
209.141.202.148,ciktel.com,CIK Telecom INC,AS54614,North America,NA,Canada,CA
218.204.179.21,10086.cn,"China Mobile Communications Group Co., Ltd.",AS9808,Asia,AS,China,CN
193.151.238.135,darnet.ru,LLC DARNET,AS49828,Europe,EU,Russia,RU
209.141.177.123,ciktel.com,CIK Telecom INC,AS54614,North America,NA,Canada,CA
210.106.140.254,kt.com,Korea Telecom,AS4766,Asia,AS,South Korea,KR
194.110.205.12,videomaxavs.com,VideoMaxAVS Ltd.,AS42721,Europe,EU,Bulgaria,BG
223.94.52.107,chinamobile.com,China Mobile communications corporation,AS56041,Asia,AS,China,CN
221.178.199.18,10086.cn,"China Mobile Communications Group Co., Ltd.",AS9808,Asia,AS,China,CN
202.110.28.82,chinaunicom.cn,CHINA UNICOM China169 Backbone,AS4837,Asia,AS,China,CN
209.141.144.19,ciktel.com,CIK Telecom INC,AS54614,North America,NA,Canada,CA
204.242.1.123,astound.com,RCN,AS6079,North America,NA,United States,US
221.131.157.86,10086.cn,"China Mobile Communications Group Co., Ltd.",AS9808,Asia,AS,China,CN
218.35.154.114,apol.com.tw,Asia Pacific On-line Service Inc.,AS7482,Asia,AS,Taiwan,TW
223.85.196.2,10086.cn,"China Mobile Communications Group Co., Ltd.",AS9808,Asia,AS,China,CN
203.68.41.1,twnic.net.tw,Taiwan Academic Network (TANet) Information Center,AS1659,Asia,AS,Taiwan,TW
221.214.123.67,chinaunicom.cn,CHINA UNICOM China169 Backbone,AS4837,Asia,AS,China,CN
202.44.242.19,inet.co.th,Internet Thailand Company Limited,AS4618,Asia,AS,Thailand,TH
209.141.149.141,ciktel.com,CIK Telecom INC,AS54614,North America,NA,Canada,CA
209.141.185.113,ciktel.com,CIK Telecom INC,AS54614,North America,NA,Canada,CA
216.212.34.251,consolidated.com,"Consolidated Communications, Inc.",AS13977,North America,NA,United States,US
223.84.167.88,10086.cn,"China Mobile Communications Group Co., Ltd.",AS9808,Asia,AS,China,CN
223.107.124.10,chinamobile.com,China Mobile communications corporation,AS56046,Asia,AS,China,CN
222.191.241.70,chinatelecom.com.cn,CHINANET-BACKBONE,AS4134,Asia,AS,China,CN
209.141.152.2,ciktel.com,CIK Telecom INC,AS54614,North America,NA,Canada,CA
223.85.226.172,10086.cn,"China Mobile Communications Group Co., Ltd.",AS9808,Asia,AS,China,CN
209.141.186.235,ciktel.com,CIK Telecom INC,AS54614,North America,NA,Canada,CA
194.4.151.219,kmv.ru,"OOO ""Post ltd""",AS12494,Europe,EU,Russia,RU
194.35.248.123,acenet.al,Acenet sh.p.k.,AS202433,Europe,EU,Albania,AL
223.106.224.134,chinamobile.com,China Mobile communications corporation,AS56046,Asia,AS,China,CN
192.173.146.49,ruralconnect.ca,RURAL CONNECT LTD.,AS398038,North America,NA,Canada,CA
223.72.7.11,chinamobile.com,China Mobile Communicaitons Corporation,AS56048,Asia,AS,China,CN
217.169.84.210,t2.ru,T2 Mobile LLC,AS15378,Europe,EU,Russia,RU
221.182.97.58,10086.cn,"China Mobile Communications Group Co., Ltd.",AS9808,Asia,AS,China,CN
222.223.177.153,chinatelecom.com.cn,CHINANET-BACKBONE,AS4134,Asia,AS,China,CN
210.204.184.87,kt.com,Korea Telecom,AS4766,Asia,AS,South Korea,KR
222.84.73.183,chinatelecom.com.cn,CHINANET-BACKBONE,AS4134,Asia,AS,China,CN
221.179.237.55,10086.cn,"China Mobile Communications Group Co., Ltd.",AS9808,Asia,AS,China,CN
218.90.32.217,chinatelecom.com.cn,CHINANET-BACKBONE,AS4134,Asia,AS,China,CN
210.0.133.114,hgc-intl.com,HGC Global Communications Limited,AS9304,Asia,AS,Hong Kong,HK
223.87.220.98,10086.cn,"China Mobile Communications Group Co., Ltd.",AS9808,Asia,AS,China,CN
206.253.71.84,ciktel.com,CIK Telecom INC,AS54614,North America,NA,Canada,CA
211.139.217.164,10086.cn,"China Mobile Communications Group Co., Ltd.",AS9808,Asia,AS,China,CN
217.197.205.127,artx.ru,ArtX LLC,AS20985,Europe,EU,Russia,RU
