saddr,saddr_raw,daddr,daddr_raw,ipid,ttl,classification,success,sport,dport,udp_pkt_size,data,icmp_responder,icmp_type,icmp_code,icmp_unreach_str,repeat,cooldown,timestamp_str,timestamp_ts,timestamp_us,observable,version,mtype,token,token_length,code,mid,options,data_length,uri
5.143.216.2,47746821,192.168.0.123,2063640768,15494,54,udp,1,5683.0,59696.0,99.0,"</register>,</ndm/dis>,</ndm/ci>,</mirror>,</uhp>,</ndm/logout>,</ndm/login>,</info>",,,,,0,0,2025-11-04T18:14:01.879+0100,1762276441,879355,3.0,1.0,2.0,,0.0,2.05 Content,32112.0,"{""CONTENT_FORMAT"": ""LINKFORMAT""}",84.0,/.well-known/core
5.149.248.110,1861784837,192.168.0.123,2063640768,55946,52,icmp,0,,,,,5.149.248.110,3.0,3.0,port unreachable,0,0,2025-11-04T18:17:05.421+0100,1762276625,421210,,,,,,,,,,
5.79.146.49,831672069,192.168.0.123,2063640768,41932,55,udp,1,5683.0,56661.0,77.0,"</ndm/dis>,</ndm/ci>,</uhp>,</ndm/logout>,</ndm/login>,</info>",,,,,0,0,2025-11-04T18:17:16.676+0100,1762276636,676883,3.0,1.0,2.0,,0.0,2.05 Content,32112.0,"{""CONTENT_FORMAT"": ""LINKFORMAT""}",62.0,/.well-known/core
5.190.238.123,2079243781,192.168.0.123,2063640768,37442,46,icmp,0,,,,,5.190.238.123,3.0,3.0,port unreachable,0,0,2025-11-04T18:17:20.497+0100,1762276640,497705,,,,,,,,,,
5.138.241.52,888244741,192.168.0.123,2063640768,4756,54,udp,1,5683.0,51716.0,99.0,"</register>,</ndm/dis>,</ndm/ci>,</mirror>,</uhp>,</ndm/logout>,</ndm/login>,</info>",,,,,0,0,2025-11-04T18:17:46.392+0100,1762276666,392977,3.0,1.0,2.0,,0.0,2.05 Content,32112.0,"{""CONTENT_FORMAT"": ""LINKFORMAT""}",84.0,/.well-known/core
2.194.210.18,315802114,192.168.0.123,2063640768,0,51,udp,1,5683.0,57191.0,774.0,"</>;title=""General Info"";ct=0,</station>;title=""Station info"";ct=50,</elements>;title=""Element list"";ct=50,</status>;title=""Get station status"";ct=50,</reboot.py>;title=""Reboot Station"";ct=50,</adv/photo>;title=""Photo"";ct=22,</adv/data>;title=""Data"";ct=50,</adv/blocks>;title=""Blocks"";ct=50,</adv/photoproperties>;title=""Photo properties"";ct=50,</adv/reports>;title=""Alarm reports"";ct=50,</adv/reportitems>;title=""Arlarm report items"";ct=50,</adv/reportitemxml>;title=""Alarm report in xml format"";ct=41,</adv/reportitemphoto>;title=""Alarm photo"";ct=22,</cfg/cfg>;title=""Station configuration"";ct=42,</cfg/cfgverify>;title=""Check configuration after upload"";ct=50,</cfg/template>;title=""Station template"";ct=42,</cfg/setstatus>;title=""Set station status"";ct=50",,,,,0,0,2025-11-04T18:17:49.035+0100,1762276669,35170,3.0,1.0,2.0,,0.0,2.05 Content,32112.0,"{""CONTENT_FORMAT"": ""LINKFORMAT""}",759.0,/.well-known/core
12.157.100.249,4184120588,192.168.0.123,2063640768,25702,116,udp,1,5683.0,52510.0,39.0,"</dp>,</rd>;rt=""core.rd""",,,,,0,0,2025-11-04T18:19:06.481+0100,1762276746,481287,3.0,1.0,2.0,,0.0,2.05 Content,32112.0,"{""CONTENT_FORMAT"": ""LINKFORMAT""}",24.0,/.well-known/core
31.181.66.245,4114789663,192.168.0.123,2063640768,33196,54,udp,1,5683.0,58489.0,99.0,"</register>,</ndm/dis>,</ndm/ci>,</mirror>,</uhp>,</ndm/logout>,</ndm/login>,</info>",,,,,0,0,2025-11-04T18:21:34.706+0100,1762276894,706192,3.0,1.0,2.0,,0.0,2.05 Content,32112.0,"{""CONTENT_FORMAT"": ""LINKFORMAT""}",84.0,/.well-known/core
5.138.217.186,3134818821,192.168.0.123,2063640768,10434,53,udp,1,5683.0,43658.0,99.0,"</register>,</ndm/dis>,</ndm/ci>,</mirror>,</uhp>,</ndm/logout>,</ndm/login>,</info>",,,,,0,0,2025-11-04T18:21:35.840+0100,1762276895,840962,3.0,1.0,2.0,,0.0,2.05 Content,32112.0,"{""CONTENT_FORMAT"": ""LINKFORMAT""}",84.0,/.well-known/core
31.33.254.108,1828593951,192.168.0.123,2063640768,50859,114,udp,1,5683.0,36888.0,103.0,"</.well-known/core>,</atrium/hello>,</atrium/card>,</atrium/register>,</atrium/regdone>,",,,,,0,0,2025-11-04T18:23:32.726+0100,1762277012,726044,3.0,1.0,2.0,,0.0,2.05 Content,32112.0,"{""CONTENT_FORMAT"": ""LINKFORMAT""}",88.0,/.well-known/core
13.39.214.156,2631280397,192.168.0.123,2063640768,55427,55,udp,1,5683.0,45389.0,47.0,"</data>,</dp>,</rd>;rt=""core.rd""",,,,,0,0,2025-11-04T18:23:48.218+0100,1762277028,218597,3.0,1.0,2.0,,0.0,2.05 Content,32112.0,"{""CONTENT_FORMAT"": ""LINKFORMAT""}",32.0,/.well-known/core
1.192.62.248,4164861953,192.168.0.123,2063640768,31696,50,udp,1,5683.0,40873.0,12.0,,,,,,0,0,2025-11-04T18:25:17.122+0100,1762277117,122114,3.0,1.0,2.0,,0.0,4.00 Bad Request,32112.0,,0.0,/.well-known/core
