saddr,saddr_raw,daddr,daddr_raw,ipid,ttl,classification,success,sport,dport,udp_pkt_size,data,icmp_responder,icmp_type,icmp_code,icmp_unreach_str,repeat,cooldown,timestamp_str,timestamp_ts,timestamp_us,uri,observable,version,mtype,token,token_length,code,mid,options,data_length
90.183.73.181,2185869146,192.168.0.123,2063640768,47401,243,icmp,0,,,,,90.183.73.130,3.0,1.0,host unreachable,0,0,2025-10-30T19:01:05.710+0100,1761847265,710144,/.well-known/core,,,,,,,,,
84.114.45.16,2786455888,192.168.0.123,2063640768,17036,53,icmp,0,,,,,80.241.21.166,3.0,1.0,host unreachable,0,0,2025-10-30T19:01:12.465+0100,1761847272,465546,/.well-known/core,,,,,,,,,
94.232.21.8,135653470,192.168.0.123,2063640768,22308,49,udp,1,5683.0,36382.0,99.0,"</register>,</ndm/dis>,</ndm/ci>,</mirror>,</uhp>,</ndm/logout>,</ndm/login>,</info>",,,,,0,0,2025-10-30T19:03:22.326+0100,1761847402,326389,/.well-known/core,3.0,1.0,2.0,,0.0,2.05 Content,32112.0,"{""CONTENT_FORMAT"": ""LINKFORMAT""}",84.0
94.77.84.73,1230261598,192.168.0.123,2063640768,9712,51,icmp,0,,,,,94.77.84.73,3.0,3.0,port unreachable,0,0,2025-10-30T19:03:29.608+0100,1761847409,608078,/.well-known/core,,,,,,,,,
95.152.4.43,721721439,192.168.0.123,2063640768,45827,54,udp,1,5683.0,45128.0,99.0,"</register>,</ndm/dis>,</ndm/ci>,</mirror>,</uhp>,</ndm/logout>,</ndm/login>,</info>",,,,,0,0,2025-10-30T19:03:40.456+0100,1761847420,456408,/.well-known/core,3.0,1.0,2.0,,0.0,2.05 Content,32112.0,"{""CONTENT_FORMAT"": ""LINKFORMAT""}",84.0
78.42.208.48,818948686,192.168.0.123,2063640768,26374,51,icmp,0,,,,,78.42.208.48,3.0,13.0,communication admin. prohibited,0,0,2025-10-30T19:03:45.781+0100,1761847425,781546,/.well-known/core,,,,,,,,,
94.231.155.188,3164333918,192.168.0.123,2063640768,57568,48,udp,1,5683.0,52460.0,99.0,"</register>,</ndm/dis>,</ndm/ci>,</mirror>,</uhp>,</ndm/logout>,</ndm/login>,</info>",,,,,0,0,2025-10-30T19:04:11.758+0100,1761847451,758444,/.well-known/core,3.0,1.0,2.0,,0.0,2.05 Content,32112.0,"{""CONTENT_FORMAT"": ""LINKFORMAT""}",84.0
93.181.243.205,3455300957,192.168.0.123,2063640768,65124,54,udp,1,5683.0,33473.0,99.0,"</register>,</ndm/dis>,</ndm/ci>,</mirror>,</uhp>,</ndm/logout>,</ndm/login>,</info>",,,,,0,0,2025-10-30T19:05:46.846+0100,1761847546,846567,/.well-known/core,3.0,1.0,2.0,,0.0,2.05 Content,32112.0,"{""CONTENT_FORMAT"": ""LINKFORMAT""}",84.0
82.215.85.62,1045813074,192.168.0.123,2063640768,5604,52,udp,1,5683.0,44144.0,77.0,"</ndm/dis>,</ndm/ci>,</uhp>,</ndm/logout>,</ndm/login>,</info>",,,,,0,0,2025-10-30T19:05:57.181+0100,1761847557,181703,/.well-known/core,3.0,1.0,2.0,,0.0,2.05 Content,32112.0,"{""CONTENT_FORMAT"": ""LINKFORMAT""}",62.0
87.240.16.163,2735796311,192.168.0.123,2063640768,62382,53,udp,1,5683.0,33731.0,99.0,"</register>,</ndm/dis>,</ndm/ci>,</mirror>,</uhp>,</ndm/logout>,</ndm/login>,</info>",,,,,0,0,2025-10-30T19:06:15.371+0100,1761847575,371103,/.well-known/core,3.0,1.0,2.0,,0.0,2.05 Content,32112.0,"{""CONTENT_FORMAT"": ""LINKFORMAT""}",84.0
87.225.59.88,1480319319,192.168.0.123,2063640768,57831,54,udp,1,5683.0,57835.0,99.0,"</register>,</ndm/dis>,</ndm/ci>,</mirror>,</uhp>,</ndm/logout>,</ndm/login>,</info>",,,,,0,0,2025-10-30T19:06:24.068+0100,1761847584,68734,/.well-known/core,3.0,1.0,2.0,,0.0,2.05 Content,32112.0,"{""CONTENT_FORMAT"": ""LINKFORMAT""}",84.0
89.208.111.229,3849310297,192.168.0.123,2063640768,57413,46,udp,1,5683.0,55242.0,99.0,"</register>,</ndm/dis>,</ndm/ci>,</mirror>,</uhp>,</ndm/logout>,</ndm/login>,</info>",,,,,0,0,2025-10-30T19:07:59.033+0100,1761847679,33448,/.well-known/core,3.0,1.0,2.0,,0.0,2.05 Content,32112.0,"{""CONTENT_FORMAT"": ""LINKFORMAT""}",84.0
78.106.40.235,3945294414,192.168.0.123,2063640768,47757,51,udp,1,5683.0,50506.0,99.0,"</register>,</ndm/dis>,</ndm/ci>,</mirror>,</uhp>,</ndm/logout>,</ndm/login>,</info>",,,,,0,0,2025-10-30T19:08:11.458+0100,1761847691,458441,/.well-known/core,3.0,1.0,2.0,,0.0,2.05 Content,32112.0,"{""CONTENT_FORMAT"": ""LINKFORMAT""}",84.0
