saddr,saddr_raw,daddr,daddr_raw,ipid,ttl,classification,success,sport,dport,udp_pkt_size,data,icmp_responder,icmp_type,icmp_code,icmp_unreach_str,repeat,cooldown,timestamp_str,timestamp_ts,timestamp_us
95.78.245.185,3119861343,192.168.0.123,2063640768,1783,54,udp,1,5683,36763,99,60457d70c128ff3c2f72656769737465723e2c3c2f6e646d2f6469733e2c3c2f6e646d2f63693e2c3c2f6d6972726f723e2c3c2f7568703e2c3c2f6e646d2f6c6f676f75743e2c3c2f6e646d2f6c6f67696e3e2c3c2f696e666f3e,,,,,0,0,2025-10-28T12:00:12.600+0100,1761649212,600115
78.139.193.231,3888221006,192.168.0.123,2063640768,35488,54,udp,1,5683,32879,99,60457d70c128ff3c2f72656769737465723e2c3c2f6e646d2f6469733e2c3c2f6e646d2f63693e2c3c2f6d6972726f723e2c3c2f7568703e2c3c2f6e646d2f6c6f676f75743e2c3c2f6e646d2f6c6f67696e3e2c3c2f696e666f3e,,,,,0,0,2025-10-28T12:00:13.910+0100,1761649213,910580
77.232.63.149,2503993421,192.168.0.123,2063640768,1861,53,udp,1,5683,52823,99,60457d70c128ff3c2f72656769737465723e2c3c2f6e646d2f6469733e2c3c2f6e646d2f63693e2c3c2f6d6972726f723e2c3c2f7568703e2c3c2f6e646d2f6c6f676f75743e2c3c2f6e646d2f6c6f67696e3e2c3c2f696e666f3e,,,,,0,0,2025-10-28T12:00:16.919+0100,1761649216,919788
87.255.231.35,602406743,192.168.0.123,2063640768,49992,53,udp,1,5683,37822,77,60457d70c128ff3c2f6e646d2f6469733e2c3c2f6e646d2f63693e2c3c2f7568703e2c3c2f6e646d2f6c6f676f75743e2c3c2f6e646d2f6c6f67696e3e2c3c2f696e666f3e,,,,,0,0,2025-10-28T12:00:26.804+0100,1761649226,804064
79.105.22.249,4178995535,192.168.0.123,2063640768,973,54,udp,1,5683,33246,99,60457d70c128ff3c2f72656769737465723e2c3c2f6e646d2f6469733e2c3c2f6e646d2f63693e2c3c2f6d6972726f723e2c3c2f7568703e2c3c2f6e646d2f6c6f676f75743e2c3c2f6e646d2f6c6f67696e3e2c3c2f696e666f3e,,,,,0,0,2025-10-28T12:00:27.313+0100,1761649227,313671
91.224.182.17,297197659,192.168.0.123,2063640768,12479,48,udp,1,5683,36783,99,60457d70c128ff3c2f72656769737465723e2c3c2f6e646d2f6469733e2c3c2f6e646d2f63693e2c3c2f6d6972726f723e2c3c2f7568703e2c3c2f6e646d2f6c6f676f75743e2c3c2f6e646d2f6c6f67696e3e2c3c2f696e666f3e,,,,,0,0,2025-10-28T12:00:38.707+0100,1761649238,707689
77.66.176.88,1487946317,192.168.0.123,2063640768,34555,44,udp,1,5683,59493,99,60457d70c128ff3c2f72656769737465723e2c3c2f6e646d2f6469733e2c3c2f6e646d2f63693e2c3c2f6d6972726f723e2c3c2f7568703e2c3c2f6e646d2f6c6f676f75743e2c3c2f6e646d2f6c6f67696e3e2c3c2f696e666f3e,,,,,0,0,2025-10-28T12:02:27.039+0100,1761649347,39593
78.47.226.232,3907137358,192.168.0.123,2063640768,58418,49,udp,1,5683,35825,121,60457d70c128ff3c2f66773e2c3c2f6566656e746f3e2c3c2f6566656e746f2f633e2c3c2f6566656e746f2f693e2c3c2f6566656e746f2f6d3e2c3c2f6566656e746f2f743e2c3c2f73773e2c3c2f6170693e2c3c2f6170692f76313e2c3c2f2e77656c6c2d6b6e6f776e2f636f72653e,,,,,0,0,2025-10-28T12:02:30.718+0100,1761649350,718076
79.173.87.107,1800908111,192.168.0.123,2063640768,11709,54,udp,1,5683,47531,99,60457d70c128ff3c2f72656769737465723e2c3c2f6e646d2f6469733e2c3c2f6e646d2f63693e2c3c2f6d6972726f723e2c3c2f7568703e2c3c2f6e646d2f6c6f676f75743e2c3c2f6e646d2f6c6f67696e3e2c3c2f696e666f3e,,,,,0,0,2025-10-28T12:02:41.194+0100,1761649361,194273
64.6.148.110,25888320,192.168.0.123,2063640768,17849,237,icmp,0,,,,,64.6.139.1,11,0,network unreachable,0,0,2025-10-28T12:02:43.028+0100,1761649363,28566
