saddr,as_domain,as_name,asn,continent,continent_code,country,country_code
36.153.130.202,chinamobile.com,China Mobile communications corporation,AS56046,Asia,AS,China,CN
49.144.222.13,pldt.com,Philippine Long Distance Telephone Company,AS9299,Asia,AS,Philippines,PH
49.146.243.254,pldt.com,Philippine Long Distance Telephone Company,AS9299,Asia,AS,Philippines,PH
46.160.209.143,infolink.ru,Information and Communication Technologies LLC,AS35539,Europe,EU,Russia,RU
49.149.204.211,pldt.com,Philippine Long Distance Telephone Company,AS9299,Asia,AS,Philippines,PH
46.73.164.127,wifire.ru,PJSC MegaFon,AS12714,Europe,EU,Russia,RU
46.242.76.71,rt.ru,PJSC Rostelecom,AS42610,Europe,EU,Russia,RU
49.146.54.113,pldt.com,Philippine Long Distance Telephone Company,AS9299,Asia,AS,Philippines,PH
60.53.162.18,tm.com.my,TM TECHNOLOGY SERVICES SDN. BHD.,AS4788,Asia,AS,Malaysia,MY
36.141.36.196,10086.cn,"China Mobile Communications Group Co., Ltd.",AS9808,Asia,AS,China,CN
49.151.31.83,pldt.com,Philippine Long Distance Telephone Company,AS9299,Asia,AS,Philippines,PH
49.147.100.241,pldt.com,Philippine Long Distance Telephone Company,AS9299,Asia,AS,Philippines,PH
49.146.251.18,pldt.com,Philippine Long Distance Telephone Company,AS9299,Asia,AS,Philippines,PH
49.147.45.194,pldt.com,Philippine Long Distance Telephone Company,AS9299,Asia,AS,Philippines,PH
49.144.56.238,pldt.com,Philippine Long Distance Telephone Company,AS9299,Asia,AS,Philippines,PH
