saddr,saddr_raw,daddr,daddr_raw,ipid,ttl,classification,success,sport,dport,udp_pkt_size,data,icmp_responder,icmp_type,icmp_code,icmp_unreach_str,repeat,cooldown,timestamp_str,timestamp_ts,timestamp_us,uri,observable,user_inserted,version,mtype,token,token_length,code,mid,options,data_length
109.248.125.102,1719531629,192.168.0.123,2063640768,34400,54,udp,1,5683,52825,12,,,,,,0,1,2025-10-30T19:52:30.236+0100,1761850350,236694,/,3,True,1,2,,0,4.04 Not Found,32112,,0
124.104.44.155,2603378812,192.168.0.123,2063640768,0,52,udp,1,5683,36611,145,"This is a test server made with libcoap (see http://libcoap.sf.net)
Copyright (C) 2010--2013 Olaf Bergmann <bergmann@tzi.org>

",,,,,0,1,2025-10-30T19:52:30.343+0100,1761850350,343691,/,3,False,1,2,,0,2.05 Content,32112,"{""CONTENT_FORMAT"": ""TEXT"", ""MAX_AGE"": ""196607""}",127
119.94.20.149,2501140087,192.168.0.123,2063640768,0,52,udp,1,5683,46552,145,"This is a test server made with libcoap (see http://libcoap.sf.net)
Copyright (C) 2010--2013 Olaf Bergmann <bergmann@tzi.org>

",,,,,0,1,2025-10-30T19:52:30.350+0100,1761850350,350044,/,3,False,1,2,,0,2.05 Content,32112,"{""CONTENT_FORMAT"": ""TEXT"", ""MAX_AGE"": ""196607""}",127
112.201.255.51,872401264,192.168.0.123,2063640768,0,52,udp,1,5683,55914,145,"This is a test server made with libcoap (see http://libcoap.sf.net)
Copyright (C) 2010--2013 Olaf Bergmann <bergmann@tzi.org>

",,,,,0,1,2025-10-30T19:52:30.353+0100,1761850350,353769,/,3,False,1,2,,0,2.05 Content,32112,"{""CONTENT_FORMAT"": ""TEXT"", ""MAX_AGE"": ""196607""}",127
110.159.120.39,662216558,192.168.0.123,2063640768,22947,49,udp,1,5683,36554,145,"This is a test server made with libcoap (see http://libcoap.sf.net)
Copyright (C) 2010--2013 Olaf Bergmann <bergmann@tzi.org>

",,,,,0,1,2025-10-30T19:52:30.354+0100,1761850350,354823,/,3,False,1,2,,0,2.05 Content,32112,"{""CONTENT_FORMAT"": ""TEXT"", ""MAX_AGE"": ""196607""}",127
112.209.18.62,1041420656,192.168.0.123,2063640768,0,52,udp,1,5683,45391,145,"This is a test server made with libcoap (see http://libcoap.sf.net)
Copyright (C) 2010--2013 Olaf Bergmann <bergmann@tzi.org>

",,,,,0,1,2025-10-30T19:52:30.356+0100,1761850350,356757,/,3,False,1,2,,0,2.05 Content,32112,"{""CONTENT_FORMAT"": ""TEXT"", ""MAX_AGE"": ""196607""}",127
124.106.192.164,2764073596,192.168.0.123,2063640768,0,50,udp,1,5683,36664,145,"This is a test server made with libcoap (see http://libcoap.sf.net)
Copyright (C) 2010--2013 Olaf Bergmann <bergmann@tzi.org>

",,,,,0,1,2025-10-30T19:52:30.359+0100,1761850350,359799,/,3,False,1,2,,0,2.05 Content,32112,"{""CONTENT_FORMAT"": ""TEXT"", ""MAX_AGE"": ""196607""}",127
122.52.69.144,2420454522,192.168.0.123,2063640768,0,52,udp,1,5683,50140,145,"This is a test server made with libcoap (see http://libcoap.sf.net)
Copyright (C) 2010--2013 Olaf Bergmann <bergmann@tzi.org>

",,,,,0,1,2025-10-30T19:52:30.363+0100,1761850350,363469,/,3,False,1,2,,0,2.05 Content,32112,"{""CONTENT_FORMAT"": ""TEXT"", ""MAX_AGE"": ""196607""}",127
112.209.52.66,1110757744,192.168.0.123,2063640768,0,52,udp,1,5683,53541,145,"This is a test server made with libcoap (see http://libcoap.sf.net)
Copyright (C) 2010--2013 Olaf Bergmann <bergmann@tzi.org>

",,,,,0,1,2025-10-30T19:52:30.378+0100,1761850350,378476,/,3,False,1,2,,0,2.05 Content,32112,"{""CONTENT_FORMAT"": ""TEXT"", ""MAX_AGE"": ""196607""}",127
120.197.53.94,1580582264,192.168.0.123,2063640768,54118,43,udp,1,5683,53995,154,"This is a test server made with libcoap (see https://libcoap.net)
Copyright (C) 2010--2019 Olaf Bergmann <bergmann@tzi.org> and others

",,,,,0,1,2025-10-30T19:52:30.428+0100,1761850350,428687,/,3,False,1,2,,0,2.05 Content,32112,"{""CONTENT_FORMAT"": ""TEXT"", ""MAX_AGE"": ""196607""}",136
123.88.129.54,914446459,192.168.0.123,2063640768,10117,42,udp,1,5683,41458,462,"************************************************************
CoAP RFC 7252                                               
************************************************************
This server is using the Eclipse Californium (Cf) CoAP framework
published under EPL+EDL: http://www.eclipse.org/californium/

(c) 2014, 2015, 2016 Institute for Pervasive Computing, ETH Zurich and others
************************************************************",,,,,0,1,2025-10-30T19:52:30.438+0100,1761850350,438402,/,3,True,1,2,,0,2.05 Content,32112,"{""CONTENT_FORMAT"": ""TEXT""}",448
122.70.243.124,2096318074,192.168.0.123,2063640768,6907,41,udp,1,5683,51040,420,"****************************************************************
CoAP RFC 7252
****************************************************************
This server is using the Eclipse Californium (Cf) CoAP framework
published under EPL+EDL: http://www.eclipse.org/californium/

(c) 2014-2020 Institute for Pervasive Computing, ETH Zurich and others
****************************************************************",,,,,0,1,2025-10-30T19:52:30.455+0100,1761850350,455360,/,3,True,1,2,,0,2.05 Content,32112,"{""CONTENT_FORMAT"": ""TEXT""}",406
111.22.246.141,2381715055,192.168.0.123,2063640768,10630,41,udp,1,5683,44113,154,"This is a test server made with libcoap (see https://libcoap.net)
Copyright (C) 2010--2019 Olaf Bergmann <bergmann@tzi.org> and others

",,,,,0,1,2025-10-30T19:52:30.472+0100,1761850350,472370,/,3,False,1,2,,0,2.05 Content,32112,"{""CONTENT_FORMAT"": ""TEXT"", ""MAX_AGE"": ""196607""}",136
117.174.81.22,374451829,192.168.0.123,2063640768,40697,40,udp,1,5683,42247,420,"****************************************************************
CoAP RFC 7252
****************************************************************
This server is using the Eclipse Californium (Cf) CoAP framework
published under EPL+EDL: http://www.eclipse.org/californium/

(c) 2014-2020 Institute for Pervasive Computing, ETH Zurich and others
****************************************************************",,,,,0,1,2025-10-30T19:52:30.505+0100,1761850350,505080,/,3,True,1,2,,0,2.05 Content,32112,"{""CONTENT_FORMAT"": ""TEXT""}",406
111.9.41.54,908659055,192.168.0.123,2063640768,41502,40,udp,1,5683,40800,420,"****************************************************************
CoAP RFC 7252
****************************************************************
This server is using the Eclipse Californium (Cf) CoAP framework
published under EPL+EDL: http://www.eclipse.org/californium/

(c) 2014-2020 Institute for Pervasive Computing, ETH Zurich and others
****************************************************************",,,,,0,1,2025-10-30T19:52:30.506+0100,1761850350,506111,/,3,True,1,2,,0,2.05 Content,32112,"{""CONTENT_FORMAT"": ""TEXT""}",406
117.172.216.145,2446896245,192.168.0.123,2063640768,25061,39,udp,1,5683,56583,462,"************************************************************
CoAP RFC 7252                                               
************************************************************
This server is using the Eclipse Californium (Cf) CoAP framework
published under EPL+EDL: http://www.eclipse.org/californium/

(c) 2014, 2015, 2016 Institute for Pervasive Computing, ETH Zurich and others
************************************************************",,,,,0,1,2025-10-30T19:52:30.507+0100,1761850350,507885,/,3,True,1,2,,0,2.05 Content,32112,"{""CONTENT_FORMAT"": ""TEXT""}",448
112.44.217.244,4107873392,192.168.0.123,2063640768,54267,39,udp,1,5683,52728,420,"****************************************************************
CoAP RFC 7252
****************************************************************
This server is using the Eclipse Californium (Cf) CoAP framework
published under EPL+EDL: http://www.eclipse.org/californium/

(c) 2014-2020 Institute for Pervasive Computing, ETH Zurich and others
****************************************************************",,,,,0,1,2025-10-30T19:52:30.523+0100,1761850350,523531,/,3,True,1,2,,0,2.05 Content,32112,"{""CONTENT_FORMAT"": ""TEXT""}",406
112.201.255.51,872401264,192.168.0.123,2063640768,0,52,udp,1,5683,58446,31,Method Not Allowed,,,,,0,1,2025-10-30T19:52:42.504+0100,1761850362,504656,/qlink/searchfh,3,False,1,2,,0,4.05 Method Not Allowed,32112,,18
119.94.20.149,2501140087,192.168.0.123,2063640768,0,52,udp,1,5683,48495,31,Method Not Allowed,,,,,0,1,2025-10-30T19:52:42.504+0100,1761850362,504798,/qlink/searchfh,3,False,1,2,,0,4.05 Method Not Allowed,32112,,18
124.104.44.155,2603378812,192.168.0.123,2063640768,0,52,udp,1,5683,42340,31,Method Not Allowed,,,,,0,1,2025-10-30T19:52:42.504+0100,1761850362,504873,/qlink/searchfh,3,False,1,2,,0,4.05 Method Not Allowed,32112,,18
