saddr,saddr_raw,daddr,daddr_raw,ipid,ttl,classification,success,sport,dport,udp_pkt_size,data,icmp_responder,icmp_type,icmp_code,icmp_unreach_str,repeat,cooldown,timestamp_str,timestamp_ts,timestamp_us,version,mtype,token,token_length,code,mid,options,data_length,observable,uri
170.79.121.111,1870221226,192.168.0.123,2063640768,8429,53,udp,1,5683,40655,31,Method Not Allowed,,,,,0,1,2025-10-31T16:48:13.893+0100,1761925693,893394,3,False,1,2,,0,4.05 Method Not Allowed,32112,,18,/device/inform/bootstrap
162.208.167.210,3534213282,192.168.0.123,2063640768,4564,42,udp,1,5683,56462,31,Method Not Allowed,,,,,0,1,2025-10-31T16:48:13.928+0100,1761925693,928052,3,False,1,2,,0,4.05 Method Not Allowed,32112,,18,/device/inform/bootstrap
180.194.152.238,4002988724,192.168.0.123,2063640768,0,52,udp,1,5683,52224,31,Method Not Allowed,,,,,0,1,2025-10-31T16:48:13.928+0100,1761925693,928266,3,False,1,2,,0,4.05 Method Not Allowed,32112,,18,/device/inform/bootstrap
183.234.34.85,1428351671,192.168.0.123,2063640768,52975,42,udp,1,5683,58061,205,"should post example:{""deviceMac"":""AABBCCDDEEFF"",""productToken"":""*****"",""deviceType"":""30102"",""ipAddress"":""192.168.1.12"",""firmwareVersion"":""f1.0"",""softwareVersion"":""s1.0"",""timestamp"":734354788}",,,,,0,1,2025-10-31T16:48:14.290+0100,1761925694,290019,3,False,1,2,,0,4.00 Bad Request,32112,"{""CONTENT_FORMAT"": ""TEXT""}",191,/device/inform/bootstrap
183.221.127.78,1317002679,192.168.0.123,2063640768,16569,39,udp,1,5683,51420,206,"should post example:{""deviceMac"":""50294D0120011"",""productToken"":""*****"",""deviceType"":""30102"",""ipAddress"":""192.168.1.15"",""firmwareVersion"":""f1.0"",""softwareVersion"":""s1.0"",""timestamp"":734354788}",,,,,0,1,2025-10-31T16:48:14.549+0100,1761925694,549594,3,False,1,2,,0,2.05 Content,32112,"{""CONTENT_FORMAT"": ""TEXT""}",192,/device/inform/bootstrap
180.194.152.238,4002988724,192.168.0.123,2063640768,0,52,udp,1,5683,54732,31,Method Not Allowed,,,,,0,1,2025-10-31T16:48:28.021+0100,1761925708,21238,3,False,1,2,,0,4.05 Method Not Allowed,32112,,18,/device/inform/boot
162.208.167.210,3534213282,192.168.0.123,2063640768,5960,42,udp,1,5683,53552,31,Method Not Allowed,,,,,0,1,2025-10-31T16:48:28.023+0100,1761925708,23174,3,False,1,2,,0,4.05 Method Not Allowed,32112,,18,/device/inform/boot
170.79.121.111,1870221226,192.168.0.123,2063640768,9064,53,udp,1,5683,44877,31,Method Not Allowed,,,,,0,1,2025-10-31T16:48:28.051+0100,1761925708,51010,3,False,1,2,,0,4.05 Method Not Allowed,32112,,18,/device/inform/boot
183.234.34.85,1428351671,192.168.0.123,2063640768,53154,42,udp,1,5683,36090,208,"should post example:{""deviceId"":""50292222111"",""deviceMac"":""50294D0120011"",""deviceType"":""30102"",""ipAddress"":""192.168.1.12"",""firmwareVersion"":""f1.0"",""softwareVersion"":""s1.0"",""timestamp"":734354788}",,,,,0,1,2025-10-31T16:48:28.127+0100,1761925708,127008,3,False,1,2,,0,4.00 Bad Request,32112,"{""CONTENT_FORMAT"": ""TEXT""}",194,/device/inform/boot
183.221.127.78,1317002679,192.168.0.123,2063640768,17505,39,udp,1,5683,40224,208,"should post example:{""deviceId"":""50292222111"",""deviceMac"":""50294D0120011"",""deviceType"":""30102"",""ipAddress"":""192.168.1.15"",""firmwareVersion"":""f1.0"",""softwareVersion"":""s1.0"",""timestamp"":734354788}",,,,,0,1,2025-10-31T16:48:28.136+0100,1761925708,136432,3,False,1,2,,0,2.05 Content,32112,"{""CONTENT_FORMAT"": ""TEXT""}",194,/device/inform/boot
162.208.167.210,3534213282,192.168.0.123,2063640768,6159,45,udp,1,5683,37341,31,Method Not Allowed,,,,,0,1,2025-10-31T16:48:42.115+0100,1761925722,115890,3,False,1,2,,0,4.05 Method Not Allowed,32112,,18,/device/inform/syncreq
170.79.121.111,1870221226,192.168.0.123,2063640768,10139,53,udp,1,5683,55525,31,Method Not Allowed,,,,,0,1,2025-10-31T16:48:42.119+0100,1761925722,119546,3,False,1,2,,0,4.05 Method Not Allowed,32112,,18,/device/inform/syncreq
180.194.152.238,4002988724,192.168.0.123,2063640768,0,52,udp,1,5683,35027,31,Method Not Allowed,,,,,0,1,2025-10-31T16:48:42.139+0100,1761925722,139804,3,False,1,2,,0,4.05 Method Not Allowed,32112,,18,/device/inform/syncreq
170.79.121.111,1870221226,192.168.0.123,2063640768,10694,53,udp,1,5683,55160,31,Method Not Allowed,,,,,0,1,2025-10-31T16:48:56.241+0100,1761925736,241439,3,False,1,2,,0,4.05 Method Not Allowed,32112,,18,/device/inform/offline
180.194.152.238,4002988724,192.168.0.123,2063640768,0,52,udp,1,5683,56775,31,Method Not Allowed,,,,,0,1,2025-10-31T16:48:56.247+0100,1761925736,247727,3,False,1,2,,0,4.05 Method Not Allowed,32112,,18,/device/inform/offline
162.208.167.210,3534213282,192.168.0.123,2063640768,6940,42,udp,1,5683,34377,31,Method Not Allowed,,,,,0,1,2025-10-31T16:48:56.258+0100,1761925736,258329,3,False,1,2,,0,4.05 Method Not Allowed,32112,,18,/device/inform/offline
183.234.34.85,1428351671,192.168.0.123,2063640768,55802,42,udp,1,5683,48871,26,should post ,,,,,0,1,2025-10-31T16:48:56.351+0100,1761925736,351453,3,False,1,2,,0,4.00 Bad Request,32112,"{""CONTENT_FORMAT"": ""TEXT""}",12,/device/inform/offline
183.221.127.78,1317002679,192.168.0.123,2063640768,17691,39,udp,1,5683,56548,28,"{""respCode"":1}",,,,,0,1,2025-10-31T16:48:56.369+0100,1761925736,369105,3,False,1,2,,0,2.05 Content,32112,"{""CONTENT_FORMAT"": ""TEXT""}",14,/device/inform/offline
