saddr,saddr_raw,daddr,daddr_raw,ipid,ttl,classification,success,sport,dport,udp_pkt_size,data,icmp_responder,icmp_type,icmp_code,icmp_unreach_str,repeat,cooldown,timestamp_str,timestamp_ts,timestamp_us,observable,user_inserted,version,mtype,token,token_length,code,mid,options,data_length,uri
185.165.219.250,4208698809,192.168.0.123,2063640768,1354,49,udp,1,5683,51928,12,,,,,,0,1,2025-11-01T11:58:08.747+0100,1761994688,747266,3,True,1,2,,0,4.04 Not Found,32112,,0,/
176.77.28.96,1612467632,192.168.0.123,2063640768,60660,243,udp,1,5683,40947,12,,,,,,0,1,2025-11-01T11:58:08.761+0100,1761994688,761770,3,True,1,2,,0,4.04 Not Found,32112,,0,/
178.57.27.67,1125857714,192.168.0.123,2063640768,26773,49,udp,1,5683,45357,12,,,,,,0,1,2025-11-01T11:58:08.769+0100,1761994688,769231,3,True,1,2,,0,4.04 Not Found,32112,,0,/
180.195.59.174,2923152308,192.168.0.123,2063640768,0,52,udp,1,5683,52932,145,"This is a test server made with libcoap (see http://libcoap.sf.net)
Copyright (C) 2010--2013 Olaf Bergmann <bergmann@tzi.org>

",,,,,0,1,2025-11-01T11:58:08.870+0100,1761994688,870057,3,False,1,2,,0,2.05 Content,32112,"{""CONTENT_FORMAT"": ""TEXT"", ""MAX_AGE"": ""196607""}",127,/
162.208.185.157,2646200482,192.168.0.123,2063640768,43631,43,udp,1,5683,46733,145,"This is a test server made with libcoap (see http://libcoap.sf.net)
Copyright (C) 2010--2013 Olaf Bergmann <bergmann@tzi.org>

",,,,,0,1,2025-11-01T11:58:08.872+0100,1761994688,872053,3,False,1,2,,0,2.05 Content,32112,"{""CONTENT_FORMAT"": ""TEXT"", ""MAX_AGE"": ""196607""}",127,/
182.53.187.120,2025534902,192.168.0.123,2063640768,292,49,udp,1,5683,47351,145,"This is a test server made with libcoap (see http://libcoap.sf.net)
Copyright (C) 2010--2013 Olaf Bergmann <bergmann@tzi.org>

",,,,,0,1,2025-11-01T11:58:08.885+0100,1761994688,885849,3,False,1,2,,0,2.05 Content,32112,"{""CONTENT_FORMAT"": ""TEXT"", ""MAX_AGE"": ""196607""}",127,/
180.194.93.142,2388509364,192.168.0.123,2063640768,0,52,udp,1,5683,40883,145,"This is a test server made with libcoap (see http://libcoap.sf.net)
Copyright (C) 2010--2013 Olaf Bergmann <bergmann@tzi.org>

",,,,,0,1,2025-11-01T11:58:08.899+0100,1761994688,899027,3,False,1,2,,0,2.05 Content,32112,"{""CONTENT_FORMAT"": ""TEXT"", ""MAX_AGE"": ""196607""}",127,/
162.208.213.86,1456853154,192.168.0.123,2063640768,40336,42,udp,1,5683,41842,145,"This is a test server made with libcoap (see http://libcoap.sf.net)
Copyright (C) 2010--2013 Olaf Bergmann <bergmann@tzi.org>

",,,,,0,1,2025-11-01T11:58:08.902+0100,1761994688,902970,3,False,1,2,,0,2.05 Content,32112,"{""CONTENT_FORMAT"": ""TEXT"", ""MAX_AGE"": ""196607""}",127,/
175.167.79.159,2672797615,192.168.0.123,2063640768,33144,36,udp,1,5683,33315,22,Not Found,,,,,0,1,2025-11-01T11:58:08.992+0100,1761994688,992163,3,True,1,2,,0,4.04 Not Found,32112,,9,/
183.251.59.102,1715207095,192.168.0.123,2063640768,49769,40,udp,1,5683,60596,462,"************************************************************
CoAP RFC 7252                                               
************************************************************
This server is using the Eclipse Californium (Cf) CoAP framework
published under EPL+EDL: http://www.eclipse.org/californium/

(c) 2014, 2015, 2016 Institute for Pervasive Computing, ETH Zurich and others
************************************************************",,,,,0,1,2025-11-01T11:58:09.009+0100,1761994689,9486,3,True,1,2,,0,2.05 Content,32112,"{""CONTENT_FORMAT"": ""TEXT""}",448,/
171.103.209.77,1305569195,192.168.0.123,2063640768,13803,47,udp,1,5683,56069,145,"This is a test server made with libcoap (see http://libcoap.sf.net)
Copyright (C) 2010--2013 Olaf Bergmann <bergmann@tzi.org>

",,,,,0,1,2025-11-01T11:58:09.044+0100,1761994689,44947,3,False,1,2,,0,2.05 Content,32112,"{""CONTENT_FORMAT"": ""TEXT"", ""MAX_AGE"": ""196607""}",127,/
183.220.167.12,212327607,192.168.0.123,2063640768,47833,39,udp,1,5683,39199,420,"****************************************************************
CoAP RFC 7252
****************************************************************
This server is using the Eclipse Californium (Cf) CoAP framework
published under EPL+EDL: http://www.eclipse.org/californium/

(c) 2014-2020 Institute for Pervasive Computing, ETH Zurich and others
****************************************************************",,,,,0,1,2025-11-01T11:58:09.050+0100,1761994689,50518,3,True,1,2,,0,2.05 Content,32112,"{""CONTENT_FORMAT"": ""TEXT""}",406,/
162.208.185.157,2646200482,192.168.0.123,2063640768,44249,43,udp,1,5683,46037,31,Method Not Allowed,,,,,0,1,2025-11-01T11:58:20.995+0100,1761994700,995116,3,False,1,2,,0,4.05 Method Not Allowed,32112,,18,/qlink/searchfh
180.195.59.174,2923152308,192.168.0.123,2063640768,0,52,udp,1,5683,52862,31,Method Not Allowed,,,,,0,1,2025-11-01T11:58:20.997+0100,1761994700,997840,3,False,1,2,,0,4.05 Method Not Allowed,32112,,18,/qlink/searchfh
162.208.213.86,1456853154,192.168.0.123,2063640768,40545,45,udp,1,5683,51737,31,Method Not Allowed,,,,,0,1,2025-11-01T11:58:20.998+0100,1761994700,998016,3,False,1,2,,0,4.05 Method Not Allowed,32112,,18,/qlink/searchfh
182.53.187.120,2025534902,192.168.0.123,2063640768,1043,49,udp,1,5683,33215,31,Method Not Allowed,,,,,0,1,2025-11-01T11:58:21.003+0100,1761994701,3205,3,False,1,2,,0,4.05 Method Not Allowed,32112,,18,/qlink/searchfh
180.194.93.142,2388509364,192.168.0.123,2063640768,0,50,udp,1,5683,47479,31,Method Not Allowed,,,,,0,1,2025-11-01T11:58:21.011+0100,1761994701,11866,3,False,1,2,,0,4.05 Method Not Allowed,32112,,18,/qlink/searchfh
