saddr,uri,duration,updates
111.9.175.122,/device/inform/data,3600,"[""NO UPDATES""]"
117.192.232.199,/device/inform/data,3600,"[""NO UPDATES""]"
112.30.7.144,/device/inform/data,3600,"[""NO UPDATES""]"
117.247.160.13,/device/inform/data,3600,"[""NO UPDATES""]"
117.174.195.208,/device/inform/data,3600,"[""NO UPDATES""]"
111.59.9.100,/device/inform/data,3600,"[""NO UPDATES""]"
111.61.255.198,/device/inform/data,3600,"[""NO UPDATES""]"
111.9.78.151,/device/inform/data,3600,"[""NO UPDATES""]"
112.45.192.177,/device/inform/data,3600,"[""NO UPDATES""]"
112.31.180.65,/device/inform/data,3600,"[""NO UPDATES""]"
120.211.91.227,/device/inform/data,3600,"[""NO UPDATES""]"
117.213.137.189,/device/inform/data,3600,"[""NO UPDATES""]"
112.54.91.106,/device/inform/data,3600,"[""NO UPDATES""]"
112.18.187.152,/device/inform/data,3600,"[""NO UPDATES""]"
120.245.105.62,/device/inform/data,3600,"[""NO UPDATES""]"
112.18.208.174,/device/inform/data,3600,"[""NO UPDATES""]"
111.59.42.245,/device/inform/data,3600,"[""NO UPDATES""]"
117.208.173.124,/device/inform/data,3600,"[""NO UPDATES""]"
112.19.91.225,/device/inform/data,3600,"[""NO UPDATES""]"
111.9.29.212,/device/inform/data,3600,"[""NO UPDATES""]"
112.4.118.70,/device/inform/data,3600,"[""NO UPDATES""]"
112.27.10.179,/device/inform/data,3600,"[""NO UPDATES""]"
120.211.144.138,/device/inform/data,3600,"[""NO UPDATES""]"
111.9.155.146,/device/inform/data,3600,"[""NO UPDATES""]"
