experiment,date,partition,dataset
exp_1,2025-09-25,0,01_output
exp_1,2025-09-25,1,01_output
exp_1,2025-09-25,2,01_output
exp_1,2025-09-25,3,01_output
exp_1,2025-09-25,4,01_output
exp_1,2025-09-25,7,01_output
exp_1,2025-09-25,6,01_output
exp_1,2025-09-25,5,01_output
exp_1,2025-09-26,0,01_output
exp_1,2025-09-26,1,01_output
exp_1,2025-09-26,2,01_output
exp_1,2025-09-26,3,01_output
exp_1,2025-09-26,7,01_output
exp_1,2025-09-26,4,01_output
exp_1,2025-09-26,6,01_output
exp_1,2025-09-26,5,01_output
exp_1,2025-09-27,0,01_output
exp_1,2025-09-27,1,01_output
exp_1,2025-09-27,2,01_output
exp_1,2025-09-27,3,01_output
exp_1,2025-09-27,4,01_output
exp_1,2025-09-27,5,01_output
exp_1,2025-09-27,6,01_output
exp_1,2025-09-27,7,01_output
exp_1,2025-09-29,0,01_output
exp_1,2025-09-29,1,01_output
exp_1,2025-09-29,2,01_output
exp_1,2025-09-29,3,01_output
exp_1,2025-09-29,4,01_output
exp_1,2025-09-29,7,01_output
exp_1,2025-09-29,6,01_output
exp_1,2025-09-29,5,01_output
exp_1,2025-09-30,0,01_output
exp_1,2025-09-30,1,01_output
exp_1,2025-09-30,2,01_output
exp_1,2025-09-30,3,01_output
exp_1,2025-09-30,4,01_output
exp_1,2025-09-30,5,01_output
exp_1,2025-09-30,6,01_output
exp_1,2025-09-30,7,01_output
