exp_name,partition_id,partition_size,dataset_name
exp_0,1,8,01_output.csv
exp_0,2,8,01_output.csv
exp_0,3,8,01_output.csv
exp_0,4,8,01_output.csv
exp_0,5,10,01_output.csv
exp_0,1,24,02_output.csv
exp_0,2,24,02_output.csv
exp_0,3,24,02_output.csv
exp_0,4,27,02_output.csv
exp_0,1,9,03_output.csv
exp_0,2,9,03_output.csv
exp_0,3,9,03_output.csv
exp_1,1,6,03_output.csv
exp_1,2,6,03_output.csv
exp_1,3,6,03_output.csv
exp_1,4,9,03_output.csv
exp_1,1,16,02_output.csv
exp_1,2,16,02_output.csv
exp_1,3,16,02_output.csv
exp_1,4,16,02_output.csv
exp_1,5,16,02_output.csv
exp_1,6,19,02_output.csv
