saddr,uri,version,mtype,token_size,code,mid,token,options,payload,payload_size
117.141.156.62,/qlink,1,ACK,2,4.05 Method Not Allowed,59708,ae32,,,0
117.141.156.62,/qlink/searchgw,1,ACK,2,4.00 Bad Request,55989,275b,{'CONTENT_FORMAT': 'TEXT'},not soupport GET,16
117.141.156.62,/device,1,ACK,2,4.05 Method Not Allowed,34745,40de,,,0
117.141.156.62,/device/inform,1,ACK,2,4.05 Method Not Allowed,19739,1955,,,0
117.141.156.62,/device/inform/boot,1,ACK,2,4.00 Bad Request,50424,924d,{'CONTENT_FORMAT': 'TEXT'},"should post example:{""deviceId"":""50292222111"",""deviceMac"":""50294D0120011"",""deviceType"":""30102"",""ipAddress"":""192.168.1.12"",""firmwareVersion"":""f1.0"",""softwareVersion"":""s1.0"",""timestamp"":734354788}",194
117.141.156.62,/device/inform/bootstrap,1,ACK,2,4.00 Bad Request,61291,d733,{'CONTENT_FORMAT': 'TEXT'},"should post example:{""deviceMac"":""AABBCCDDEEFF"",""productToken"":""*****"",""deviceType"":""30102"",""ipAddress"":""192.168.1.12"",""firmwareVersion"":""f1.0"",""softwareVersion"":""s1.0"",""timestamp"":734354788}",191
117.141.156.62,/device/inform/data,1,ACK,2,4.00 Bad Request,61588,541c,{'CONTENT_FORMAT': 'TEXT'},should post ,12
117.141.156.62,/device/inform/heartbeat,1,ACK,2,4.00 Bad Request,59578,f397,{'CONTENT_FORMAT': 'TEXT'},"should post example,{
""deviceId"": ""deviceId""

}",47
117.141.156.62,/device/inform/offline,1,ACK,2,4.00 Bad Request,8292,895e,{'CONTENT_FORMAT': 'TEXT'},should post ,12
117.141.156.62,/ekit,1,ACK,2,4.05 Method Not Allowed,42968,b9c3,,,0
117.141.156.62,/ekit/boot,1,ACK,2,4.00 Bad Request,42802,23c7,{'CONTENT_FORMAT': 'TEXT'},"should post example:{""deviceId"":""50292222111"",""deviceMac"":""50294D0120011"",""deviceType"":""30102"",""ipAddress"":""192.168.1.12"",""firmwareVersion"":""f1.0"",""softwareVersion"":""s1.0"",""timestamp"":734354788}",194
117.141.156.62,/ekit/bootstrap,1,ACK,2,4.00 Bad Request,63394,f8a6,{'CONTENT_FORMAT': 'TEXT'},"should post example:{""deviceMac"":""AABBCCDDEEFF"",""productToken"":""*****"",""deviceType"":""30102"",""ipAddress"":""192.168.1.12"",""firmwareVersion"":""f1.0"",""softwareVersion"":""s1.0"",""timestamp"":734354788}",191
117.141.156.62,/ekit/heartbeat,1,ACK,2,4.00 Bad Request,29128,0f2d,{'CONTENT_FORMAT': 'TEXT'},"should post example,{
""deviceId"": ""deviceId""

}",47
117.141.156.62,/ekit/searchgw,1,ACK,2,4.00 Bad Request,25080,05be,{'CONTENT_FORMAT': 'TEXT'},not soupport GET,16
117.141.156.62,/.well-known/core,1,ACK,2,2.05 Content,46319,7432,{'CONTENT_FORMAT': 'LINKFORMAT'},"</qlink>,</qlink/searchgw>,</device>,</device/inform>,</device/inform/boot>,</device/inform/bootstrap>,</device/inform/data>,</device/inform/heartbeat>,</device/inform/offline>,</ekit>,</ekit/boot>,</ekit/bootstrap>,</ekit/heartbeat>,</ekit/searchgw>,</.well-known/core>",270
111.22.27.145,/qlink,1,ACK,2,4.05 Method Not Allowed,1167,6d5e,,,0
111.22.27.145,/qlink/searchgw,1,ACK,2,4.00 Bad Request,60935,5cbf,{'CONTENT_FORMAT': 'TEXT'},not soupport GET,16
111.22.27.145,/device,1,ACK,2,4.05 Method Not Allowed,1136,d437,,,0
111.22.27.145,/device/inform,1,ACK,2,4.05 Method Not Allowed,36391,56e8,,,0
111.22.27.145,/device/inform/boot,1,ACK,2,4.00 Bad Request,19543,f904,{'CONTENT_FORMAT': 'TEXT'},"should post example:{""deviceId"":""50292222111"",""deviceMac"":""50294D0120011"",""deviceType"":""30102"",""ipAddress"":""192.168.1.12"",""firmwareVersion"":""f1.0"",""softwareVersion"":""s1.0"",""timestamp"":734354788}",194
111.22.27.145,/device/inform/bootstrap,1,ACK,2,4.00 Bad Request,34776,b403,{'CONTENT_FORMAT': 'TEXT'},"should post example:{""deviceMac"":""AABBCCDDEEFF"",""productToken"":""*****"",""deviceType"":""30102"",""ipAddress"":""192.168.1.12"",""firmwareVersion"":""f1.0"",""softwareVersion"":""s1.0"",""timestamp"":734354788}",191
111.22.27.145,/device/inform/data,1,ACK,2,4.00 Bad Request,8996,3409,{'CONTENT_FORMAT': 'TEXT'},should post ,12
111.22.27.145,/device/inform/heartbeat,1,ACK,2,4.00 Bad Request,29709,93a9,{'CONTENT_FORMAT': 'TEXT'},"should post example,{
""deviceId"": ""deviceId""

}",47
111.22.27.145,/device/inform/offline,1,ACK,2,4.00 Bad Request,33797,b3df,{'CONTENT_FORMAT': 'TEXT'},should post ,12
111.22.27.145,/ekit,1,ACK,2,4.05 Method Not Allowed,17345,7a49,,,0
111.22.27.145,/ekit/boot,1,ACK,2,4.00 Bad Request,59043,df7d,{'CONTENT_FORMAT': 'TEXT'},"should post example:{""deviceId"":""50292222111"",""deviceMac"":""50294D0120011"",""deviceType"":""30102"",""ipAddress"":""192.168.1.12"",""firmwareVersion"":""f1.0"",""softwareVersion"":""s1.0"",""timestamp"":734354788}",194
111.22.27.145,/ekit/bootstrap,1,ACK,2,4.00 Bad Request,13420,d679,{'CONTENT_FORMAT': 'TEXT'},"should post example:{""deviceMac"":""AABBCCDDEEFF"",""productToken"":""*****"",""deviceType"":""30102"",""ipAddress"":""192.168.1.12"",""firmwareVersion"":""f1.0"",""softwareVersion"":""s1.0"",""timestamp"":734354788}",191
111.22.27.145,/ekit/heartbeat,1,ACK,2,4.00 Bad Request,42364,44e3,{'CONTENT_FORMAT': 'TEXT'},"should post example,{
""deviceId"": ""deviceId""

}",47
